Date,Open,High,Low,Close,Adj Close,Volume
7/14/2017,66.5,67.089996,66.370003,66.849998,60.255272,5340600
7/17/2017,66.75,67.540001,66.650002,66.830002,60.237247,6438500
7/18/2017,67.309998,67.32,65.980003,66.18,59.651371,5359800
7/19/2017,66.129997,67.639999,66.099998,67.440002,60.787075,6642300
7/20/2017,67.769997,67.900002,66.760002,67.019997,60.408504,7458200
7/21/2017,67.800003,68.959999,66.199997,66.529999,59.966839,10910300
7/24/2017,66.68,66.839996,65.849998,66.419998,59.867695,6211000
7/25/2017,67,67.550003,66.93,67.010002,60.399502,6947200
7/26/2017,67.480003,68.160004,66.720001,66.989998,60.381458,8350800
7/27/2017,66.959999,67.800003,66.389999,67.779999,61.093533,6968600
7/28/2017,67.540001,69.040001,67.5,68.459999,61.706451,10545600
7/31/2017,68.440002,68.790001,67.690002,68.599998,61.83263,10621100
8/1/2017,68.5,69.010002,68.050003,69.010002,62.202194,10295700
8/2/2017,68.879997,69.370003,68.419998,69.129997,62.310368,7973400
8/3/2017,68.959999,69.25,67.75,68.220001,61.490116,9869700
8/4/2017,68.150002,68.389999,67.459999,67.540001,60.877201,5411600
8/7/2017,67.25,67.5,66.529999,66.550003,59.984875,5756600
8/8/2017,66.25,66.629997,65.260002,65.489998,59.029438,8700100
8/9/2017,65.730003,65.900002,65.07,65.489998,59.029438,6274900
8/10/2017,65.550003,65.779999,64.190002,64.400002,58.04697,8060500
8/11/2017,64.099998,64.669998,63.740002,63.830002,57.533207,4627500
8/14/2017,64,64.279999,63.669998,63.950001,57.641365,4961000
8/15/2017,63.939999,63.939999,63.029999,63.439999,57.181675,6850800
8/16/2017,63.639999,63.950001,63.23,63.709999,57.425041,6329600
8/17/2017,63.459999,63.799999,62.950001,63.029999,56.812122,5292100
8/18/2017,63.07,63.810001,62.93,63.32,57.073513,9096300
8/21/2017,63.110001,63.41,62.990002,63,56.785084,4498200
8/22/2017,63.16,63.639999,63.110001,63.349998,57.100555,4710200
8/23/2017,63.099998,63.5,62.869999,63.189999,56.956341,4433400
8/24/2017,63.099998,63.240002,62.560001,62.880001,56.676922,5674100
8/25/2017,63.110001,64.129997,62.990002,63.880001,57.578274,5712600
8/28/2017,63.84,64.080002,63,63.450001,57.190689,4505600
8/29/2017,63.259998,63.619999,62.810001,63.5,57.235756,4076300
8/30/2017,63.400002,63.759998,63.07,63.389999,57.136608,4629100
8/31/2017,63.599998,63.779999,63.16,63.509998,57.24477,5833500
9/1/2017,63.200001,63.919998,62.970001,63.349998,57.553661,4907400
9/5/2017,63.48,65.25,63.349998,65.099998,59.143536,7517600
9/6/2017,65.290001,66.239998,65.279999,65.720001,59.706814,6806200
9/7/2017,65.720001,66.129997,65.360001,65.870003,59.843086,4236400
9/8/2017,65.720001,65.760002,64.540001,64.860001,58.925495,5487000
9/11/2017,65.190002,65.889999,64.980003,65.769997,59.752224,5617100
9/12/2017,65.760002,66.620003,65.339996,66.43,60.351849,5308600
9/13/2017,66.519997,67.470001,66.43,66.919998,60.797009,5728200
9/14/2017,67.419998,67.940002,67.169998,67.699997,61.505642,5954100
9/15/2017,67.690002,67.900002,66.75,67.239998,61.087727,11428400
9/18/2017,67.080002,68,67,67.870003,61.660091,6688900
9/19/2017,68,68.260002,67.470001,67.889999,61.678268,6817200
9/20/2017,68.139999,68.160004,67.470001,67.620003,61.432964,6766000
9/21/2017,67.529999,68.5,67.010002,68.089996,61.859951,8315100
9/22/2017,67.730003,68.940002,67.730003,68.800003,62.505009,6797600
9/25/2017,69.099998,70.010002,69.080002,69.650002,63.277237,6914300
9/26/2017,69.269997,69.559998,68.540001,68.82,62.52317,6393400
9/27/2017,68.940002,69.190002,68.290001,69.080002,62.759373,6043100
9/28/2017,69.330002,69.660004,68.550003,69.160004,62.832073,6464300
9/29/2017,69.029999,69.769997,68.260002,69.760002,63.377151,6559100
10/2/2017,68.730003,69.32,68.540001,69.32,62.977421,7254800
10/3/2017,69.260002,69.57,68.849998,69.059998,62.741207,6124500
10/4/2017,69.120003,69.330002,68.669998,68.82,62.52317,6319700
10/5/2017,69.150002,69.18,68.57,68.870003,62.568588,6293100
10/6/2017,68.720001,68.720001,67.870003,68.339996,62.087086,5717400
10/9/2017,68.360001,68.800003,68.239998,68.330002,62.078003,3587100
10/10/2017,68.760002,69.029999,68.269997,68.330002,62.078003,3824700
10/11/2017,67.32,67.800003,66.839996,67.739998,61.541985,8060500
10/12/2017,67.220001,67.419998,66.790001,67.290001,61.13316,6225800
10/13/2017,67.629997,68.080002,67.129997,67.169998,61.024132,4248700
10/16/2017,67.559998,67.830002,66.779999,66.800003,60.687988,4846100
10/17/2017,66.879997,67.190002,66.260002,66.5,60.415436,6621400
10/18/2017,66.459999,66.650002,65.68,65.910004,59.879421,5936500
10/19/2017,65.360001,65.709999,64.470001,64.5,58.598434,13577600
10/20/2017,63.57,63.950001,61.400002,63.150002,57.37196,19259600
10/23/2017,63.150002,63.48,61.810001,61.91,56.245419,14054100
10/24/2017,62.529999,62.84,61.919998,62.439999,56.726921,9639500
10/25/2017,62.5,63.619999,62.400002,63.439999,57.635429,10748200
10/26/2017,63.450001,63.810001,63.060001,63.369999,57.571831,8668300
10/27/2017,63.110001,63.869999,62.880001,63.549999,57.735367,12972700
10/30/2017,63.75,64.5,63.529999,64.110001,58.244114,6632800
10/31/2017,63.990002,64.739998,63.93,64,58.14418,8519500
11/1/2017,64.620003,64.959999,63.990002,64.279999,58.398563,11329300
